"Hospital","patient_count","unique_doctor_count","medical_condition_count","total_billing_amount","average_billing_amount","average_patient_age","average_length_of_stay","first_admission_date","last_admission_date"
and Hayden Sons,1,1,1,28360.10,28360.10,62.0,10,2023-10-31,2023-10-31
"and Hayes Delgado Lane,",1,1,1,20045.00,20045.02,21.0,19,2019-09-25,2019-09-25
"and Hayes Hines, Williams",1,1,1,9596.34,9596.34,57.0,4,2024-04-27,2024-04-27
"and Hayes Jones Stone,",1,1,1,15056.10,15056.06,53.0,21,2022-11-27,2022-11-27
"and Hayes Rodriguez, Green",1,1,1,17057.00,17057.04,19.0,30,2023-07-20,2023-07-20
"and Hayes Williams Walker,",1,1,1,45377.70,45377.70,49.0,2,2023-02-28,2023-02-28
"and Hayes, Harris Cook",1,1,1,23188.20,23188.19,33.0,1,2021-02-09,2021-02-09
"and Haynes Gibbs, Griffin",2,1,1,61822.60,30911.28,63.5,26,2020-08-17,2020-08-17
"and Haynes, Jenkins Thompson",1,1,1,13879.90,13879.93,37.0,8,2022-03-25,2022-03-25
"and Heath May Hughes,",1,1,1,32164.90,32164.88,76.0,20,2022-03-09,2022-03-09
"and Heath, Shannon Lin",1,1,1,41429.10,41429.14,22.0,25,2020-03-21,2020-03-21
"and Heath, Smith Lewis",1,1,1,16517.80,16517.79,43.0,17,2021-09-07,2021-09-07
"and Henderson Bauer Lee,",1,1,1,30057.70,30057.68,80.0,30,2019-10-18,2019-10-18
"and Henderson Choi Charles,",1,1,1,36406.60,36406.58,67.0,20,2021-11-02,2021-11-02
"and Henderson Gomez, Brown",1,1,1,44104.40,44104.37,70.0,17,2019-08-10,2019-08-10
"and Henderson Kline Barnett,",1,1,1,35523.10,35523.14,68.0,20,2020-08-05,2020-08-05
"and Henderson Mckay Johnson,",1,1,1,3572.48,3572.48,70.0,29,2021-11-18,2021-11-18
"and Henderson Oconnell Williams,",1,1,1,27350.40,27350.39,85.0,17,2021-01-10,2021-01-10
"and Henderson Perry, Cordova",1,1,1,37098.90,37098.93,49.0,16,2019-09-07,2019-09-07
"and Henderson Salazar, Cooper",1,1,1,29389.70,29389.72,69.0,15,2020-08-20,2020-08-20
"and Henderson Torres, Potter",1,1,1,4377.85,4377.85,73.0,5,2022-04-01,2022-04-01
"and Henderson, Brandt Tucker",1,1,1,30349.30,30349.33,41.0,25,2020-05-25,2020-05-25
"and Henderson, Rivera Barker",1,1,1,42445.90,42445.93,49.0,2,2021-10-29,2021-10-29
"and Hendricks Page Li,",1,1,1,21060.60,21060.58,82.0,25,2023-01-18,2023-01-18
"and Hendricks, Davis Cole",1,1,1,24005.00,24005.04,45.0,12,2020-08-02,2020-08-02
"and Henry Alexander Martinez,",1,1,1,5272.60,5272.60,83.0,10,2023-01-13,2023-01-13
and Henry Sons,1,1,1,39572.00,39571.99,66.0,6,2023-05-12,2023-05-12
"and Henry White Reid,",1,1,1,49524.20,49524.21,56.0,1,2021-08-28,2021-08-28
"and Henry, Brown Acosta",1,1,1,40469.60,40469.61,68.0,18,2021-03-08,2021-03-08
"and Henry, Oneill Montoya",1,1,1,29477.10,29477.09,22.0,8,2020-11-08,2020-11-08
"and Hensley Alexander, Alvarez",1,1,1,23345.50,23345.53,18.0,25,2019-12-10,2019-12-10
"and Hensley, Monroe Mitchell",1,1,1,16196.40,16196.37,73.0,7,2019-10-20,2019-10-20
"and Henson Jefferson, Holder",1,1,1,25185.50,25185.49,44.0,22,2019-08-08,2019-08-08
"and Henson, Zamora Hart",1,1,1,8589.06,8589.06,25.0,12,2021-07-21,2021-07-21
"and Herman Williams Parker,",1,1,1,37751.10,37751.09,25.0,13,2022-09-21,2022-09-21
"and Hernandez Acevedo, Thompson",1,1,1,5901.61,5901.61,48.0,3,2019-08-17,2019-08-17
"and Hernandez Cook Wilson,",1,1,1,38158.90,38158.85,31.0,24,2023-06-03,2023-06-03
"and Hernandez Dennis Obrien,",1,1,1,24437.00,24436.97,28.0,6,2022-02-06,2022-02-06
"and Hernandez Dunlap Barnett,",1,1,1,16587.20,16587.22,24.0,26,2023-01-28,2023-01-28
"and Hernandez Everett Mccullough,",1,1,1,37912.40,37912.41,21.0,11,2022-08-29,2022-08-29
"and Hernandez Farmer Clark,",1,1,1,10919.50,10919.51,46.0,28,2021-10-08,2021-10-08
"and Hernandez Gallegos Mitchell,",1,1,1,2995.49,2995.49,82.0,10,2020-03-06,2020-03-06
"and Hernandez Gray, Jones",1,1,1,40219.90,40219.95,77.0,4,2020-02-05,2020-02-05
"and Hernandez Harrison, Macdonald",1,1,1,47866.40,47866.37,52.0,3,2021-12-13,2021-12-13
"and Hernandez Jones Hubbard,",1,1,1,15099.10,15099.09,32.0,7,2019-10-21,2019-10-21
"and Hernandez Lewis, Brown",1,1,1,6901.95,6901.95,83.0,16,2020-09-05,2020-09-05
"and Hernandez Long Adams,",1,1,1,49603.30,49603.33,40.0,23,2021-06-21,2021-06-21
"and Hernandez Mckinney Li,",1,1,1,36923.50,36923.54,56.0,30,2019-09-01,2019-09-01
"and Hernandez Mills, Harris",1,1,1,6141.39,6141.39,42.0,7,2020-05-12,2020-05-12
"and Hernandez Riggs, Diaz",1,1,1,46672.80,46672.80,52.0,16,2023-08-22,2023-08-22
and Hernandez Sons,3,2,2,68734.50,22911.48,68.3,6,2023-05-27,2024-02-06
"and Hernandez Tate, Wilson",1,1,1,32518.70,32518.67,42.0,4,2019-07-24,2019-07-24
"and Hernandez Walker Hull,",1,1,1,901.13,901.13,38.0,13,2023-01-09,2023-01-09
"and Hernandez Wallace Frost,",1,1,1,39434.20,39434.23,74.0,18,2020-05-14,2020-05-14
"and Hernandez Waters, Cruz",1,1,1,43050.80,43050.83,73.0,25,2021-03-26,2021-03-26
"and Hernandez Wiggins, Miller",1,1,1,45658.10,45658.06,78.0,16,2019-06-27,2019-06-27
"and Hernandez Willis, Burke",2,1,1,29447.40,14723.72,86.5,15,2019-06-14,2019-06-14
"and Hernandez, Combs Green",2,1,1,10524.70,5262.34,74.0,23,2019-12-10,2019-12-10
"and Hernandez, Fletcher Oneal",2,1,1,49567.70,24783.84,34.0,7,2022-01-04,2022-01-04
"and Hernandez, Flores Cook",1,1,1,3245.50,3245.50,60.0,12,2020-08-13,2020-08-13
"and Hernandez, Garcia Parks",1,1,1,5198.43,5198.43,49.0,8,2024-02-21,2024-02-21
"and Hernandez, Hughes Walton",1,1,1,21022.90,21022.91,30.0,3,2023-12-26,2023-12-26
"and Hernandez, Kelly Sanders",1,1,1,30206.90,30206.95,75.0,21,2022-09-03,2022-09-03
"and Hernandez, Kline Hall",1,1,1,43233.60,43233.57,59.0,19,2020-02-13,2020-02-13
"and Hernandez, Lewis Collins",2,1,1,3039.46,1519.73,48.5,28,2022-10-06,2022-10-06
"and Hernandez, Smith Snyder",1,1,1,38499.80,38499.80,58.0,24,2023-10-22,2023-10-22
"and Hernandez, Smith Wiley",1,1,1,4654.33,4654.33,30.0,10,2020-03-15,2020-03-15
"and Hernandez, Townsend Thompson",1,1,1,14553.60,14553.60,81.0,2,2022-07-06,2022-07-06
"and Herrera Blackburn Harper,",1,1,1,7918.51,7918.51,31.0,30,2022-10-27,2022-10-27
"and Herrera Jackson Gross,",1,1,1,26927.20,26927.25,37.0,12,2019-05-10,2019-05-10
"and Herrera Torres Hudson,",1,1,1,47256.40,47256.42,73.0,20,2022-11-25,2022-11-25
"and Herrera, Brown Gordon",1,1,1,3464.44,3464.44,78.0,29,2020-03-04,2020-03-04
"and Herrera, Cain Weiss",1,1,1,44875.90,44875.91,59.0,20,2022-09-23,2022-09-23
"and Herrera, Cox Higgins",1,1,1,18877.60,18877.61,64.0,7,2020-08-03,2020-08-03
"and Herrera, Kramer Holmes",1,1,1,22718.80,22718.79,61.0,27,2021-07-07,2021-07-07
"and Herrera, Miller Adkins",1,1,1,40798.20,40798.19,70.0,15,2021-10-27,2021-10-27
"and Herring Clark, Dorsey",1,1,1,47780.40,47780.36,38.0,8,2021-12-07,2021-12-07
"and Herring Freeman, Tapia",1,1,1,46434.10,46434.14,33.0,2,2021-09-23,2021-09-23
"and Herring Rivera Newton,",1,1,1,25964.90,25964.88,62.0,28,2022-06-17,2022-06-17
"and Hess Baxter, Thomas",1,1,1,4280.92,4280.92,19.0,4,2022-05-02,2022-05-02
"and Hess Delgado Foster,",1,1,1,32535.40,32535.45,74.0,27,2019-07-06,2019-07-06
"and Hess, Nguyen Everett",1,1,1,6078.84,6078.84,68.0,13,2020-12-05,2020-12-05
"and Hester Swanson, Glenn",1,1,1,36877.50,36877.53,31.0,19,2020-08-10,2020-08-10
and Hickman Sons,1,1,1,5022.52,5022.52,80.0,1,2023-10-24,2023-10-24
"and Hicks Murray, Green",1,1,1,20991.60,20991.59,45.0,21,2019-10-11,2019-10-11
"and Hicks Pham, Cooley",2,1,1,24258.50,12129.24,30.5,19,2021-07-08,2021-07-08
"and Hicks Ray, Lloyd",1,1,1,21913.90,21913.88,53.0,27,2021-12-17,2021-12-17
"and Hicks, Mathews Gilbert",1,1,1,18907.80,18907.85,54.0,29,2019-07-23,2019-07-23
"and Hicks, Walker Jordan",2,1,1,101307.00,50653.67,31.5,1,2019-07-18,2019-07-18
"and Higgins Gray, Hurst",1,1,1,10047.50,10047.45,74.0,30,2020-12-17,2020-12-17
"and Higgins Mckay, Cruz",1,1,1,17338.20,17338.25,76.0,29,2019-08-25,2019-08-25
"and Higgins Reese, Kirk",1,1,1,31282.00,31281.98,58.0,23,2022-07-11,2022-07-11
"and Higgins Thompson Gaines,",1,1,1,18409.00,18408.99,20.0,7,2023-04-13,2023-04-13
"and Hill Alvarez, Bridges",1,1,1,12173.40,12173.44,33.0,11,2020-07-28,2020-07-28
"and Hill Carter, Stout",1,1,1,44683.80,44683.80,39.0,2,2024-01-06,2024-01-06
"and Hill Collins, Navarro",1,1,1,5097.34,5097.34,39.0,30,2019-07-22,2019-07-22
"and Hill Lawson Saunders,",1,1,1,6686.67,6686.67,53.0,7,2019-10-09,2019-10-09
"and Hill Page Williams,",2,1,1,89986.80,44993.41,58.5,6,2021-02-19,2021-02-19
"and Hill Ramirez Hart,",1,1,1,44259.40,44259.35,41.0,15,2020-01-28,2020-01-28
"and Hill Rios, Taylor",1,1,1,2459.19,2459.19,49.0,17,2023-01-22,2023-01-22
"and Hill Rodgers Pearson,",1,1,1,35845.50,35845.48,83.0,30,2021-05-08,2021-05-08
and Hill Sons,1,1,1,16307.40,16307.44,70.0,1,2022-03-28,2022-03-28
"and Hill Taylor Lee,",1,1,1,24066.70,24066.69,44.0,17,2022-02-24,2022-02-24
"and Hill Watson Dennis,",1,1,1,20214.90,20214.91,69.0,12,2019-08-25,2019-08-25
"and Hill, Guerrero Perry",1,1,1,13799.70,13799.70,43.0,1,2019-08-03,2019-08-03
"and Hines Gibson, Fritz",1,1,1,28906.80,28906.81,42.0,15,2022-04-10,2022-04-10
and Hines Sons,1,1,1,36984.60,36984.60,18.0,2,2022-08-19,2022-08-19
"and Hines, Baker Hamilton",1,1,1,17346.10,17346.14,66.0,23,2023-10-03,2023-10-03
"and Hobbs Jensen Johnson,",1,1,1,14551.60,14551.56,26.0,20,2023-02-13,2023-02-13
"and Hobbs Rice, Miller",2,1,1,9075.70,4537.85,78.0,13,2019-08-04,2019-08-04
and Hobbs Sons,1,1,1,19943.30,19943.35,49.0,24,2019-08-08,2019-08-08
"and Hobbs Warren Bird,",2,1,1,43874.50,21937.24,76.0,25,2020-04-12,2020-04-12
and Hodge Sons,1,1,1,40956.40,40956.37,57.0,8,2023-03-16,2023-03-16
"and Hodge, Stephenson Jones",1,1,1,35432.60,35432.62,63.0,2,2020-02-04,2020-02-04
"and Hodges Foley Garcia,",1,1,1,47558.10,47558.09,46.0,24,2021-07-24,2021-07-24
"and Hoffman Blake Hernandez,",1,1,1,7183.54,7183.54,72.0,8,2021-05-28,2021-05-28
"and Hoffman Bowman Lee,",1,1,1,25725.50,25725.51,19.0,12,2023-06-18,2023-06-18
"and Hoffman, Christian Hunt",1,1,1,3176.66,3176.66,24.0,18,2019-09-16,2019-09-16
"and Hogan, Walker Murphy",1,1,1,24281.30,24281.26,44.0,14,2021-07-14,2021-07-14
"and Holland Aguilar, Jackson",1,1,1,38984.70,38984.70,48.0,21,2022-12-23,2022-12-23
and Holland Sons,3,2,2,70674.60,23558.21,30.0,28,2022-07-06,2023-06-14
"and Holland Steele Ramsey,",1,1,1,23283.70,23283.68,30.0,25,2019-12-01,2019-12-01
"and Holland Watkins Copeland,",2,1,1,96365.40,48182.72,47.0,30,2019-12-29,2019-12-29
"and Holland, White Collins",1,1,1,43392.60,43392.58,50.0,2,2024-04-12,2024-04-12
"and Holloway Davis, Winters",1,1,1,12705.10,12705.14,53.0,27,2020-03-26,2020-03-26
"and Holloway Jimenez, Massey",1,1,1,16764.50,16764.52,62.0,29,2022-01-09,2022-01-09
"and Holloway Robinson, Peterson",1,1,1,1644.11,1644.11,73.0,14,2023-05-12,2023-05-12
and Holloway Sons,1,1,1,14681.10,14681.08,23.0,18,2022-11-08,2022-11-08
"and Holloway, Collins Marsh",1,1,1,7081.85,7081.85,28.0,2,2019-12-07,2019-12-07
"and Holmes Fowler, Davis",2,1,1,99446.90,49723.47,36.0,28,2020-03-23,2020-03-23
"and Holmes Krause, Goodman",2,1,1,43276.80,21638.41,59.5,25,2019-10-09,2019-10-09
"and Holmes Mcbride Landry,",1,1,1,44255.30,44255.31,84.0,8,2020-03-16,2020-03-16
"and Holmes Miller Paul,",1,1,1,37619.60,37619.61,18.0,18,2020-10-11,2020-10-11
"and Holmes Moore Nelson,",1,1,1,8760.41,8760.41,75.0,20,2022-05-11,2022-05-11
"and Holmes, Baker Mcclain",1,1,1,32581.20,32581.22,79.0,26,2023-07-19,2023-07-19
"and Holmes, Brown Lee",1,1,1,40616.30,40616.32,34.0,10,2024-04-04,2024-04-04
"and Holmes, Burgess Wood",1,1,1,28584.70,28584.65,69.0,1,2020-10-01,2020-10-01
"and Hood, Davis Mann",1,1,1,30343.20,30343.23,63.0,8,2023-06-10,2023-06-10
"and Hood, Snyder Price",1,1,1,32181.10,32181.14,82.0,23,2019-07-01,2019-07-01
"and Hooper, Richmond Gardner",1,1,1,49940.10,49940.11,79.0,15,2023-11-11,2023-11-11
"and Hoover Long, Johnson",1,1,1,3086.86,3086.86,74.0,27,2023-12-03,2023-12-03
"and Hopkins Holland Murphy,",1,1,1,34403.70,34403.72,62.0,17,2022-10-11,2022-10-11
"and Hopkins Jones, Mccullough",1,1,1,22185.20,22185.24,68.0,1,2019-09-17,2019-09-17
"and Hopkins Robinson, Warren",1,1,1,40576.10,40576.11,67.0,20,2022-07-21,2022-07-21
"and Hopkins Smith Young,",1,1,1,19888.00,19888.00,28.0,11,2021-09-28,2021-09-28
and Hopkins Sons,3,2,2,37181.30,12393.77,62.7,11,2020-06-11,2022-06-29
"and Hopkins Wiley Tran,",1,1,1,46790.00,46789.96,85.0,17,2022-07-19,2022-07-19
"and Hopkins, Bartlett Washington",1,1,1,35541.10,35541.09,21.0,29,2020-07-01,2020-07-01
"and Hopkins, Lowery Wright",1,1,1,14352.20,14352.15,84.0,30,2021-06-09,2021-06-09
"and Horne, Shaw Brown",2,1,1,96468.10,48234.06,48.5,17,2022-04-29,2022-04-29
"and Horton Giles Parker,",1,1,1,7287.04,7287.04,36.0,16,2023-03-25,2023-03-25
"and Horton Hernandez Hernandez,",1,1,1,43048.60,43048.59,57.0,22,2020-06-23,2020-06-23
"and Horton Parker Hunter,",1,1,1,25205.80,25205.78,61.0,18,2021-08-16,2021-08-16
and Horton Sons,1,1,1,48947.70,48947.72,42.0,11,2023-05-09,2023-05-09
"and Horton Welch Long,",1,1,1,8164.70,8164.70,40.0,18,2021-10-12,2021-10-12
"and Horton, Knight Morton",1,1,1,10784.90,10784.89,65.0,30,2022-11-21,2022-11-21
"and House Lopez, Rios",1,1,1,29161.20,29161.23,70.0,21,2021-11-01,2021-11-01
"and House Welch Carter,",1,1,1,11827.60,11827.56,33.0,27,2022-12-22,2022-12-22
"and Houston Orr Ramos,",1,1,1,30623.60,30623.60,75.0,26,2020-06-01,2020-06-01
"and Houston, Miller Good",1,1,1,144.19,144.19,32.0,17,2022-10-21,2022-10-21
"and Houston, Mitchell Davenport",1,1,1,34977.30,34977.28,64.0,6,2020-01-28,2020-01-28
"and Howard Carter, Hart",1,1,1,35843.40,35843.45,71.0,9,2022-06-18,2022-06-18
"and Howard Clark Campbell,",1,1,1,5873.47,5873.47,41.0,27,2023-06-03,2023-06-03
"and Howard Fischer Zimmerman,",1,1,1,4236.27,4236.27,24.0,19,2021-01-21,2021-01-21
"and Howard Fuller, Friedman",1,1,1,5809.53,5809.53,49.0,27,2022-04-06,2022-04-06
"and Howard Harvey, Hunt",1,1,1,18576.70,18576.67,57.0,2,2019-11-15,2019-11-15
"and Howard King, Martinez",1,1,1,1547.89,1547.89,69.0,8,2023-03-16,2023-03-16
"and Howard Nelson, Harrison",1,1,1,40526.70,40526.67,47.0,23,2021-08-22,2021-08-22
"and Howard Oliver Harris,",1,1,1,21075.70,21075.67,27.0,2,2023-07-12,2023-07-12
"and Howard Schroeder Williams,",1,1,1,19263.90,19263.86,71.0,19,2024-03-31,2024-03-31
and Howard Sons,2,2,2,20732.10,10366.07,52.5,15,2020-08-31,2023-09-09
"and Howard Ward, Jordan",1,1,1,47806.00,47806.00,37.0,30,2023-08-17,2023-08-17
"and Howard Wiggins, Hardy",1,1,1,43762.10,43762.06,79.0,8,2020-05-07,2020-05-07
"and Howard, Mitchell Perez",1,1,1,45892.10,45892.13,84.0,14,2023-11-09,2023-11-09
"and Howe Price, Fritz",1,1,1,13818.80,13818.81,37.0,30,2022-12-25,2022-12-25
"and Howell Brooks, Rogers",1,1,1,25966.30,25966.33,49.0,24,2022-06-24,2022-06-24
"and Howell Mendoza, Williams",1,1,1,40271.90,40271.89,58.0,8,2022-06-28,2022-06-28
and Howell Sons,4,2,2,65421.80,16355.45,47.0,17,2020-01-20,2022-08-12
"and Howell Velasquez, Aguilar",1,1,1,42374.80,42374.80,48.0,3,2023-04-05,2023-04-05
"and Howell, Richardson Fuentes",1,1,1,20000.50,20000.53,67.0,9,2022-10-12,2022-10-12
"and Huang Schwartz Jones,",1,1,1,18198.90,18198.94,48.0,30,2023-06-10,2023-06-10
"and Huang, Alvarez Gray",1,1,1,16666.10,16666.10,49.0,28,2021-06-13,2021-06-13
"and Huang, Rivera Ryan",1,1,1,16922.70,16922.71,79.0,29,2019-10-18,2019-10-18
"and Hubbard Bell Sanchez,",1,1,1,15392.10,15392.08,33.0,6,2024-03-17,2024-03-17
"and Hubbard Johnson Green,",1,1,1,11997.20,11997.24,28.0,19,2023-06-11,2023-06-11
"and Hubbard Juarez Carter,",2,1,1,5624.48,2812.24,68.5,5,2021-04-14,2021-04-14
and Hubbard Sons,1,1,1,35254.90,35254.85,84.0,11,2019-12-20,2019-12-20
"and Hubbard, Fernandez Murphy",1,1,1,28351.20,28351.17,40.0,5,2021-05-12,2021-05-12
"and Huber, Foster Hutchinson",1,1,1,15249.00,15248.97,80.0,11,2021-12-19,2021-12-19
"and Huber, Lopez Bradshaw",1,1,1,18979.90,18979.91,39.0,8,2020-05-24,2020-05-24
"and Hudson Huber Flores,",1,1,1,11227.30,11227.28,62.0,21,2023-04-09,2023-04-09
"and Hudson Le, Carter",1,1,1,46465.40,46465.41,84.0,24,2023-02-21,2023-02-21
"and Hudson Merritt Lynch,",1,1,1,25616.70,25616.66,78.0,28,2023-12-15,2023-12-15
and Hudson Sons,1,1,1,41355.70,41355.66,34.0,21,2022-12-07,2022-12-07
"and Hudson, Kim Morris",1,1,1,45233.80,45233.76,21.0,3,2019-08-31,2019-08-31
"and Huerta Perez Christensen,",1,1,1,1517.29,1517.29,69.0,3,2023-01-27,2023-01-27
"and Huerta, Cox Price",2,1,1,84698.20,42349.11,15.5,17,2020-03-03,2020-03-03
"and Huff Reeves, Dennis",1,1,1,,,72.0,27,2021-03-21,2021-03-21
"and Huffman Mitchell, Mitchell",1,1,1,31690.90,31690.95,57.0,16,2020-04-07,2020-04-07
"and Huffman Swanson, Nelson",1,1,1,4778.72,4778.72,41.0,27,2022-07-20,2022-07-20
"and Huffman Wright, Velez",2,1,1,16937.70,8468.83,67.5,20,2021-10-20,2021-10-20
"and Hughes Castillo, Rodgers",1,1,1,28166.70,28166.71,62.0,26,2020-04-23,2020-04-23
"and Hughes Cowan, Bell",1,1,1,23807.60,23807.56,37.0,16,2020-03-05,2020-03-05
"and Hughes Green, Campbell",1,1,1,32405.70,32405.74,38.0,27,2021-12-24,2021-12-24
"and Hughes Johnson Ward,",1,1,1,14528.20,14528.21,65.0,15,2024-04-18,2024-04-18
"and Hughes Sullivan, Payne",1,1,1,10059.20,10059.19,59.0,24,2019-08-05,2019-08-05
"and Hughes Taylor Malone,",1,1,1,48013.70,48013.69,44.0,19,2019-05-26,2019-05-26
"and Hughes Thomas, Newton",1,1,1,49824.90,49824.93,52.0,5,2023-12-12,2023-12-12
"and Hughes, Brown Zavala",1,1,1,43473.30,43473.27,36.0,28,2020-05-13,2020-05-13
"and Hughes, Gaines Mcdowell",1,1,1,11042.50,11042.51,79.0,29,2021-02-11,2021-02-11
"and Hughes, Hester Miller",1,1,1,33928.50,33928.54,26.0,1,2022-07-03,2022-07-03
"and Hughes, Rice Brown",1,1,1,24012.50,24012.54,60.0,16,2023-01-14,2023-01-14
"and Hull Douglas, Martin",1,1,1,8683.73,8683.73,63.0,6,2021-10-15,2021-10-15
"and Hull White, Best",1,1,1,29282.00,29282.00,18.0,13,2024-01-04,2024-01-04
"and Hull, Brown Byrd",1,1,1,5272.11,5272.11,76.0,16,2020-08-24,2020-08-24
"and Humphrey Martin, Perry",1,1,1,10968.90,10968.91,43.0,19,2019-12-05,2019-12-05
"and Humphrey Rivera, Mcdonald",1,1,1,4012.08,4012.08,37.0,6,2022-12-23,2022-12-23
"and Humphrey, Moore Williams",1,1,1,25610.10,25610.12,81.0,3,2023-01-21,2023-01-21
and Hunt Sons,1,1,1,7173.16,7173.16,82.0,3,2024-01-02,2024-01-02
"and Hunt, Andrews Watson",1,1,1,1496.24,1496.24,31.0,7,2021-01-17,2021-01-17
"and Hunt, Jones Richardson",1,1,1,44717.90,44717.92,49.0,8,2020-02-06,2020-02-06
"and Hunt, Jones Rodriguez",1,1,1,45111.20,45111.16,29.0,16,2022-09-28,2022-09-28
"and Hunt, Warner Everett",2,1,1,84204.50,42102.26,35.5,11,2022-11-16,2022-11-16
"and Hunter Brown Kelly,",1,1,1,20424.30,20424.26,59.0,3,2021-02-19,2021-02-19
"and Hunter Chan, Hess",2,1,1,38853.80,19426.91,20.0,7,2022-07-08,2022-07-08
"and Hunter Glenn Scott,",1,1,1,39151.50,39151.46,55.0,15,2021-11-17,2021-11-17
"and Hunter Hamilton, Bryant",1,1,1,7967.77,7967.77,42.0,29,2023-11-15,2023-11-15
"and Hunter Richardson Miller,",1,1,1,31147.00,31147.03,37.0,13,2022-11-22,2022-11-22
"and Hunter Sanders, Gray",1,1,1,12096.00,12096.01,59.0,23,2022-03-16,2022-03-16
and Hunter Sons,1,1,1,23916.70,23916.71,85.0,19,2021-04-28,2021-04-28
"and Hunter Strickland Mathis,",1,1,1,7267.57,7267.57,22.0,8,2021-03-04,2021-03-04
"and Hunter, Young Price",1,1,1,16579.80,16579.79,48.0,28,2019-11-05,2019-11-05
"and Hurley Thomas Davidson,",1,1,1,6668.91,6668.91,28.0,30,2023-04-21,2023-04-21
"and Hurst, Page Jones",1,1,1,32463.10,32463.07,65.0,19,2020-11-17,2020-11-17
"and Hutchinson, Livingston Green",1,1,1,47120.90,47120.86,37.0,9,2023-01-13,2023-01-13
"and Huynh Stewart, Preston",1,1,1,26872.70,26872.72,37.0,10,2024-01-01,2024-01-01
"and Huynh, Barron Orr",1,1,1,46334.80,46334.78,21.0,17,2024-03-27,2024-03-27
"and Ibarra Lang Porter,",1,1,1,25167.80,25167.75,46.0,15,2023-12-29,2023-12-29
"and Ibarra Lutz Shields,",2,1,1,38281.90,19140.95,49.5,23,2020-06-20,2020-06-20
"and Ingram Johnson, Russo",1,1,1,7257.77,7257.77,62.0,18,2020-08-01,2020-08-01
"and Jackson Acosta, Boyle",1,1,1,25680.70,25680.66,78.0,27,2024-02-09,2024-02-09
"and Jackson Bradley, Rodriguez",1,1,1,22456.80,22456.77,79.0,28,2020-06-11,2020-06-11
"and Jackson Brooks Gordon,",2,1,1,26594.40,13297.21,41.5,2,2022-02-17,2022-02-17
"and Jackson Brown Green,",1,1,1,45753.50,45753.53,73.0,4,2024-01-14,2024-01-14
"and Jackson Brown, Reese",1,1,1,33644.30,33644.26,59.0,25,2021-12-18,2021-12-18
"and Jackson Burgess Dennis,",1,1,1,13257.20,13257.20,63.0,13,2021-12-13,2021-12-13
"and Jackson Fox, Bishop",1,1,1,19250.60,19250.61,36.0,6,2023-08-27,2023-08-27
"and Jackson Harris Blair,",1,1,1,47575.80,47575.79,53.0,27,2021-01-01,2021-01-01
"and Jackson Harvey Douglas,",2,1,1,54905.50,27452.74,77.5,4,2021-03-22,2021-03-22
"and Jackson Hernandez Sanchez,",1,1,1,5925.51,5925.51,57.0,25,2023-06-20,2023-06-20
"and Jackson Johnson, Anderson",1,1,1,30084.50,30084.48,67.0,17,2024-03-25,2024-03-25
"and Jackson Mccall, Kelly",2,1,1,25185.30,12592.65,83.0,12,2020-05-29,2020-05-29
"and Jackson Smith Elliott,",1,1,1,16261.30,16261.28,56.0,20,2024-04-30,2024-04-30
and Jackson Sons,4,4,4,152620.00,38154.96,50.8,13,2019-08-07,2021-04-23
"and Jackson Stephens Orozco,",1,1,1,49205.60,49205.56,36.0,12,2019-05-15,2019-05-15
"and Jackson, Miles Allen",2,1,1,56950.40,28475.18,54.0,2,2021-03-03,2021-03-03
"and Jackson, Mitchell Marks",2,1,1,64898.00,32449.01,22.5,23,2023-01-05,2023-01-05
"and Jackson, Parker Nelson",1,1,1,7029.60,7029.60,47.0,27,2022-03-21,2022-03-21
"and Jackson, Perry Cohen",1,1,1,25710.60,25710.55,49.0,21,2023-07-31,2023-07-31
"and Jackson, Raymond Valdez",2,1,1,74820.10,37410.03,45.5,29,2021-06-21,2021-06-21
"and Jacobs Duke, Herrera",1,1,1,34479.80,34479.83,80.0,11,2019-05-12,2019-05-12
"and Jacobs Martin, Gould",2,1,1,51405.80,25702.88,64.5,14,2022-08-31,2022-08-31
and Jacobs Sons,2,2,2,50023.80,25011.90,38.5,10,2021-07-07,2023-11-05
"and Jacobs, Hernandez Chavez",1,1,1,30516.10,30516.14,57.0,8,2020-11-30,2020-11-30
"and Jacobs, Miller Henson",1,1,1,22397.10,22397.07,21.0,26,2022-11-27,2022-11-27
"and Jacobs, Pena Fox",1,1,1,22463.30,22463.35,34.0,24,2022-07-24,2022-07-24
"and Jacobs, Robinson Nelson",1,1,1,41340.70,41340.74,74.0,4,2024-03-07,2024-03-07
"and Jacobson Eaton, Reynolds",1,1,1,42532.20,42532.20,27.0,30,2023-06-11,2023-06-11
"and Jacobson Rodriguez Robertson,",1,1,1,19033.70,19033.72,57.0,4,2020-05-02,2020-05-02
"and James Miller Smith,",1,1,1,6967.62,6967.62,62.0,29,2024-03-31,2024-03-31
"and James Rose, Shields",1,1,1,5510.76,5510.76,33.0,17,2023-04-23,2023-04-23
"and James Schneider Bradley,",1,1,1,36141.80,36141.75,73.0,7,2019-09-10,2019-09-10
"and James Smith George,",1,1,1,28926.60,28926.57,22.0,22,2024-04-11,2024-04-11
"and James Watts Herman,",1,1,1,16937.40,16937.38,75.0,15,2020-03-21,2020-03-21
"and James, Browning Mooney",2,1,1,33073.40,16536.69,74.5,9,2022-01-30,2022-01-30
